"random/1003500_1","This is exactly what the Google Web Toolkit compiler does, but outputs Java bytecode rather than taking it into JS.The HotSpot compiler does some of this static analysis at runtime (various forms of devirtualization and type-tightening), but it's far more...",1,"barik",1,"NONE","<eol>"
"random/1103422_2","LLVM is designed to be more than just a compiler. It's different stages can be used separately by other code, making it well suited for building things like static analysis tools. Apple (sponsor and de facto leader of LLVM) has been taking advantage of th...",1,"barik",1,"LICENSING","<eol>"
"random/1182137_3","Regardless of anyone's opinions of this particular IDE / workflow it's been clear for a while that the future of developer tools will almost certainly include:- IDEs that take advantage of greater knowledge of code than just a simple organization of text ...",1,"barik",1,"WORKFLOW","<eol>"
"random/1441798_4","This is a fairly interesting discussion. I'm not a Haskelite (if I had to pick a favourite language it would be OCaml, with Common Lisp and plain-old-C being close seconds), but I can understand where he's coming from. I'd imagine most people on this site...",1,"barik",1,"MANAGEMENT","<eol>"
"random/1460517_5","Do we really want to heed advice when it's comes with obviously wrong advice like ""Only people can detect and solve software bugs, not tools.""Static bug analysis is definitely not the be all and end all of software quality but definitely has a place. We a...",1,"barik",1,"EGO","<eol>"
"random/1548738_6","It saddens me to see the linked article taken seriously and its political agenda repeated as if the existence of an article advocating Open Source in an Open Source conference gave credence to the idea of mandatory Open Source for life-critical software.T...",1,"barik",1,"SAFETY","<eol>"
"random/1744360_7","In an ideal world this is true. But in reality we don't always have control over the codebase from birth until deprecation. Often, you find yourself a newcomer to code, and being able to reason your way though it can be time consuming, and scary.I think t...",1,"barik",1,"CONFIDENCE","<eol>"
"random/2027769_8","I don't know specifically about the `crashme` tool but I can say that fuzzing is not a technique that has gone out of vogue. In fact it is standard security practice for finding ill defined behavior in programs for buffer overflows and other nasties. When...",1,"barik",1,"SECURITY","<eol>"
"random/2033000_9","I will try to ignore the shallow (but horrifying) issue of identifiers including spaces.The real question to be asked here is what is wrong with the current portable assembler (C) ? C has occupied this niche for a long time and quite successfully - I beli...",1,"barik",1,"ECOSYSTEM","<eol>"
"random/2241462_10","I love developing in rails but let's be clear, refactoring ruby is just painful at the moment. Yesterday I decided to rename a model, it took over an hour to get the tests passing again. Ok there's rubymine but it's only partially effective, it misses thi...",1,"barik",1,"ACCURACY","<eol>"
"random/2752939_11","+1 for this comment  For all static (heck, even runtime) analysis tools, I would rather have more rules than less - and disable the ones I don't like/want/agree with. I wrote the code, I set the standard for rules, it's that simple.                       ...",1,"barik",1,"VERBOSITY","<eol>"
"random/2834103_12","Java ecosystem has a lot of static analysis tools that can integrate to almost all popular IDEs and Continuous Integration systems. Findbugs, PMD, JDepend, Sonar (recommend to check Sonar).Checkstyle is another tool that I use since I'm kind of the annoyi...",1,"barik",1,"WORKFLOW","<eol>"
"random/2917697_13","Can you give some more detail about what your process was for determining code quality? Just getting people to get a checkout and read through it? Running static analysis tools? Examining commit histories?                                                  ...",1,"barik",1,"QUALITY","<eol>"
"random/3067838_14","I would say that after a little more experience, space leaks are the only thing that really worries me in Haskell.  It's one of those things that I have to think about a little too much to really feel ""safe"" about.  (The other worry is expressions that ev...",1,"barik",1,"EGO","<eol>"
"random/3388542_15","D. Richard Hipp and the SQLite project have not had such a positive experience with static code analysis. They already use a massive amount of testing though. There's also no mention of commercial tools like Coverity.See the ""Static Analysis"" section:\nht...",1,"barik",1,"ACCURACY","<eol>"
"random/3548469_16","Well, with the exception of a class tree (which I've had trouble using in the past), those are all the reasons I just use a text editor. So, I guess I still don't understand.You see, I have file/project trees, warning/error buffers, build status and shell...",1,"barik",1,"CONFIGURATION","<eol>"
"random/3644225_17","We've been building a SPICE-like mixed-mode circuit simulator plus a SVG-based schematic editor, HTML5/Canvas-based plotting, in about 20K lines of CoffeeScript.  No browser plugins required -- runs directly in the browser's JavaScript engine, and all sim...",1,"barik",1,"NONE","<eol>"
